Name,Restaurants,Ratio,Predict
North East,2083,1.308478039,1.203598135
North West,6613,1.20699894,1.315070981
Yorkshire and the Humber,5179,1.293714746,1.279783551
East Midlands,4104,1.368725011,1.253330281
West Midlands,4605,1.401744005,1.265658735
East,5168,1.271344041,1.279512866
London,10720,1.479828507,1.416134773
South East,8141,1.268115942,1.352671535
South West,5379,1.251065846,1.284705089
Wales,2872,1.174067496,1.223013605
Scotland,5079,1.240234375,1.277322781
Northern Ireland,1044,1.064516129,1.178030743
