PostcodeArea,R,Ratio
AB,435,1.166666667
AL,234,1.270440252
B,1486,1.524324324
BA,521,1.156069364
BB,410,1.660377358
BD,583,1.365079365
BH,654,1.219954649
BL,312,1.552123552
BN,1131,1.20758483
BR,253,1.139240506
BS,885,1.048961424
BT,1899,0.957671958
CA,464,1.517241379
CB,457,1.053719008
CF,781,1.043564356
CH,517,1.085872576
CM,586,1.313679245
CO,393,1.337016575
CR,244,1.139874739
CT,571,1.509259259
CV,705,1.515418502
CW,255,1.637168142
DA,289,1.545994065
DD,234,1.068627451
DE,687,1.407294833
DG,184,1.333333333
DH,250,1.166666667
DL,391,1.451612903
DN,619,1.225806452
DT,293,1.744680851
DY,300,1.052631579
E,1388,1.554878049
EC,450,1.264467593
EH,1007,1.121212121
EN,227,1.335329341
EX,800,2.056701031
FK,248,1.44047619
FY,368,0.927374302
G,1089,1.270735524
GL,710,1.355555556
GU,567,1.241758242
HA,455,1.514442916
HD,260,1.176870748
HG,201,0.987804878
HP,439,1.247863248
HR,211,2.010309278
HS,46,2
HU,385,1.297468354
HX,169,1.328947368
IG,256,1.681528662
IP,536,1.424242424
IV,348,1.338235294
KA,291,1.223214286
KT,501,1.212598425
KW,82,1.3
KY,251,1.073394495
L,833,1.430769231
LA,494,1.08
LD,89,2.333333333
LE,943,1.375907112
LL,702,1.248447205
LN,301,1.413793103
LS,831,1.408730159
LU,192,1.480565371
M,1212,1.467906977
ME,393,1.178117048
MK,451,1.435013263
ML,190,1.492424242
N,1024,1.615054788
NE,1069,1.220556745
NG,987,1.367793241
NN,500,1.6
NP,335,1.315789474
NR,778,1.113636364
NW,820,1.11995104
OL,342,0.811455847
OX,655,1.374045802
PA,291,1.556818182
PE,822,1.297101449
PH,304,0.975609756
PL,626,1.16091954
PO,790,1.146095718
PR,549,1.124161074
RG,632,1.171366594
RH,479,1.262135922
RM,265,1.164688427
S,1021,1.164233577
SA,744,1.037037037
SE,1060,1.459845985
SG,350,1.224334601
SK,520,1.274787535
SL,325,1.297222222
SM,146,1.539473684
SN,387,1.048582996
SO,617,1.167123288
SP,241,1.216494845
SR,172,1.452054795
SS,386,1.098591549
ST,470,1.166666667
SW,1434,1.224471021
SY,456,0.939130435
TA,377,1.658119658
TD,136,1.391304348
TF,177,0.518867925
TN,738,1.275862069
TQ,438,1.108108108
TR,536,1.050847458
TS,407,1.430327869
TW,498,1.337526205
UB,198,1.653465347
W,1748,1.283123028
WA,435,0.812703583
WC,399,2.417247387
WD,215,1.375
WF,346,1.126637555
WN,173,0.622073579
WR,310,1.874015748
WS,317,1.347826087
WV,264,1.67027027
YO,900,1.378787879
ZE,22,1.6
