SectionAbb,Diff,Lo,Hi
Water,1.55967741935484,-9.37365591397849,38.3305084745763
Service,0.702511616192546,0.399059180576961,1.15374458814111
Transportation,0.532864233895162,0.057846984899978,1.052733060205
Health,0.456818887853371,0.116351350619499,1.06553034125806
ICT,0.436786541927732,0.223043143134503,0.674214050043333
Manufacturing,0.396921641791045,-0.054798589744413,1.01723159048056
Energy,0.353658536585366,-0.7,7.83606557377049
Wholesale retail,0.34761867260686,0.020290140548795,0.865471479005892
Mining,0.231372549019608,-0.473809523809524,2.57142857142857
Construction,0.210038369414508,-0.047044661129168,0.55805394210608
Public,0.202305246422894,-0.690940940940941,4.73717948717949
Science,0.153665469452994,-0.019908124651048,0.33586399851102
Administrative,0.123496368983734,-0.081039790961663,0.374522631205544
Agriculture,0.111356932153392,-0.912280701754386,3.19166666666667
Arts,0.082633842685064,-0.26150056839712,0.680102660062697
Home,0.046352540448482,-0.484625400641026,1.08207352333746
Financial,-0.004810289837391,-0.215564122873197,0.241695245386567
Real Estate,-0.024589533087357,-0.230530106293778,0.268509541109853
Education,-0.052794133583788,-0.380827103853187,0.518867705992726
Extraterritorial,-0.260639637370939,-0.548960335920558,0.071588527526197
