Date,Accommodation.and.food.services,Total
2020-03-23,1219400,4791600
2020-03-24,1434000,5683600
2020-03-25,1464300,6035900
2020-03-26,1480600,6171900
2020-03-27,1504800,6329600
2020-03-28,1515900,6423800
2020-03-29,1524400,6477400
2020-03-30,1549900,6840200
2020-03-31,1539700,6842400
2020-04-01,1626700,8454500
2020-04-02,1627500,8473500
2020-04-03,1634000,8514500
2020-04-04,1634900,8530400
2020-04-05,1635400,8536400
2020-04-06,1646600,8697500
2020-04-07,1646800,8707800
2020-04-08,1646900,8718700
2020-04-09,1647000,8728900
2020-04-10,1647400,8743600
2020-04-11,1646900,8731500
2020-04-12,1646600,8730500
2020-04-13,1643100,8762100
2020-04-14,1642900,8777500
2020-04-15,1642500,8780500
2020-04-16,1643100,8785700
2020-04-17,1642900,8789000
2020-04-18,1639100,8726000
2020-04-19,1635900,8716600
2020-04-20,1635200,8807500
2020-04-21,1634600,8805600
2020-04-22,1634300,8805400
2020-04-23,1634100,8805700
2020-04-24,1635400,8814500
2020-04-25,1631900,8739200
2020-04-26,1631400,8732300
2020-04-27,1632500,8791600
2020-04-28,1632200,8789500
2020-04-29,1631400,8786000
2020-04-30,1630300,8786500
2020-05-01,1631300,8856500
2020-05-02,1624100,8785900
2020-05-03,1628500,8798900
2020-05-04,1633300,8856400
2020-05-05,1633000,8855000
2020-05-06,1631300,8854300
2020-05-07,1631000,8855300
2020-05-08,1633400,8861300
2020-05-09,1630300,8805500
2020-05-10,1629100,8799700
2020-05-11,1629800,8826200
2020-05-12,1626400,8818700
2020-05-13,1625500,8814800
2020-05-14,1626400,8814300
2020-05-15,1626800,8815500
2020-05-16,1622900,8749600
2020-05-17,1621200,8739000
2020-05-18,1618300,8749000
2020-05-19,1618200,8744200
2020-05-20,1616100,8739900
2020-05-21,1615200,8729500
2020-05-22,1613400,8725500
2020-05-23,1606800,8655600
2020-05-24,1604800,8642100
2020-05-25,1605100,8657600
2020-05-26,1603000,8641700
2020-05-27,1601800,8632600
2020-05-28,1599200,8615600
2020-05-29,1598100,8603300
2020-05-30,1587000,8456400
2020-05-31,1573600,8376300
2020-06-01,1557400,7709900
2020-06-02,1556500,7702900
2020-06-03,1554600,7699600
2020-06-04,1554400,7698200
2020-06-05,1556100,7702000
2020-06-06,1552400,7644700
2020-06-07,1552000,7632400
2020-06-08,1544900,7630900
2020-06-09,1544000,7628800
2020-06-10,1543700,7632300
2020-06-11,1543300,7632000
2020-06-12,1543400,7631200
2020-06-13,1540700,7585500
2020-06-14,1540400,7558900
2020-06-15,1533200,7531600
2020-06-16,1532100,7508900
2020-06-17,1530600,7503700
2020-06-18,1526100,7495100
2020-06-19,1525700,7494600
2020-06-20,1524000,7435900
2020-06-21,1519000,7398000
2020-06-22,1473400,7310800
2020-06-23,1471700,7300700
2020-06-24,1468700,7278300
2020-06-25,1464900,7261200
2020-06-26,1459000,7231200
2020-06-27,1435100,7087200
2020-06-28,1422500,7032800
2020-06-29,1329000,6843900
2020-06-30,1321700,6821900
2020-07-01,1303100,5975400
2020-07-02,1303400,5976200
2020-07-03,1301500,5970300
2020-07-04,1296100,5952100
2020-07-05,1293300,5942500
2020-07-06,1287700,5919400
2020-07-07,1284400,5909500
2020-07-08,1270600,5886800
2020-07-09,1268700,5880000
2020-07-10,1265400,5873500
2020-07-11,1259700,5858600
2020-07-12,1255900,5839000
2020-07-13,1233400,5789900
2020-07-14,1230700,5779700
2020-07-15,1227900,5765000
2020-07-16,1226100,5751400
2020-07-17,1222900,5743400
2020-07-18,1216600,5715200
2020-07-19,1207300,5698000
2020-07-20,1191600,5658800
2020-07-21,1186600,5640200
2020-07-22,1183800,5629500
2020-07-23,1181200,5619800
2020-07-24,1174000,5603100
2020-07-25,1167500,5573200
2020-07-26,1161400,5549700
2020-07-27,1132500,5483400
2020-07-28,1127300,5468100
2020-07-29,1120900,5447500
2020-07-30,1119200,5435600
2020-07-31,1108600,5392900
2020-08-01,871000,4233100
2020-08-02,871000,4231400
2020-08-03,863200,4224600
2020-08-04,860900,4218500
2020-08-05,860400,4216100
