Name,EO2HO,All,EO2HO.1,All.1
London,0.175775165,0.249139328,0.213261185,0.331805003
South East,0.133487465,0.115330093,0.161955159,0.153597195
North West,0.108432945,0.114368165,0.131557483,0.152316095
South West,0.088199124,0.060652086,0.107008574,0.080776751
Yorkshire and the Humber,0.084919737,0.078068044,0.103029821,0.103971411
East,0.084739371,0.079181855,0.102810989,0.105454791
Scotland,0.083280043,0.077257999,0.101040444,0.10289259
West Midlands,0.075507895,0.083130822,0.091610798,0.110714045
East Midlands,0.06729303,0.057614419,0.081644021,0.076731171
Wales,0.047092003,0.039287161,0.0571349,0.052322837
North East,0.03415482,0.037110166,0.041438717,0.049423505
Northern Ireland,0.017118402,0.008859862,0.020769093,0.011799609
