x,y
1969-04-24,0.0000000103
1969-06-01,0.0000000332
1969-07-08,0.0000000927
1969-08-14,0.0000002230
1969-09-21,0.0000004650
1969-10-28,0.0000008390
1969-12-04,0.0000013000
1970-01-10,0.0000017500
1970-02-17,0.0000020800
1970-03-26,0.0000022400
1970-05-02,0.0000022800
1970-06-09,0.0000023100
1970-07-16,0.0000024000
1970-08-22,0.0000025600
1970-09-28,0.0000026800
1970-11-05,0.0000026900
1970-12-12,0.0000025400
1971-01-18,0.0000023200
1971-02-25,0.0000021000
1971-04-03,0.0000019600
1971-05-10,0.0000018800
1971-06-16,0.0000018500
1971-07-24,0.0000018200
1971-08-30,0.0000018300
1971-10-06,0.0000019100
1971-11-12,0.0000020800
1971-12-20,0.0000023100
1972-01-26,0.0000025200
1972-03-03,0.0000026000
1972-04-10,0.0000025100
1972-05-17,0.0000022900
1972-06-23,0.0000019900
1972-07-30,0.0000016500
1972-09-06,0.0000013300
1972-10-13,0.0000010800
1972-11-19,0.0000009530
1972-12-27,0.0000010100
1973-02-02,0.0000012600
1973-03-11,0.0000016900
1973-04-17,0.0000022100
1973-05-25,0.0000027000
1973-07-01,0.0000030600
1973-08-07,0.0000032500
1973-09-14,0.0000032800
1973-10-21,0.0000031900
1973-11-27,0.0000030400
1974-01-03,0.0000028500
1974-02-10,0.0000026500
1974-03-19,0.0000024600
1974-04-25,0.0000022800
1974-06-02,0.0000020800
1974-07-09,0.0000018400
1974-08-15,0.0000015900
1974-09-21,0.0000013900
1974-10-29,0.0000013200
1974-12-05,0.0000014300
1975-01-11,0.0000016900
1975-02-18,0.0000020300
1975-03-27,0.0000023100
1975-05-03,0.0000024700
1975-06-09,0.0000025200
1975-07-17,0.0000025400
1975-08-23,0.0000025800
1975-09-29,0.0000026500
1975-11-05,0.0000027500
1975-12-13,0.0000028500
1976-01-19,0.0000029300
1976-02-25,0.0000030100
1976-04-03,0.0000031000
1976-05-10,0.0000032000
1976-06-16,0.0000033000
1976-07-23,0.0000033600
1976-08-30,0.0000033300
1976-10-06,0.0000032000
1976-11-12,0.0000030200
1976-12-20,0.0000028600
1977-01-26,0.0000027900
1977-03-04,0.0000028000
1977-04-10,0.0000028300
1977-05-18,0.0000028200
1977-06-24,0.0000027500
1977-07-31,0.0000026500
1977-09-07,0.0000025900
1977-10-14,0.0000025900
1977-11-20,0.0000026500
1977-12-27,0.0000027000
1978-02-03,0.0000027100
1978-03-12,0.0000026600
1978-04-18,0.0000026000
1978-05-26,0.0000025800
1978-07-02,0.0000026000
1978-08-08,0.0000026200
1978-09-14,0.0000026100
1978-10-22,0.0000025400
1978-11-28,0.0000024200
1979-01-04,0.0000022500
1979-02-11,0.0000021000
1979-03-20,0.0000020100
1979-04-26,0.0000020100
1979-06-02,0.0000021100
1979-07-10,0.0000022400
1979-08-16,0.0000023800
1979-09-22,0.0000025200
1979-10-29,0.0000027000
1979-12-06,0.0000029300
1980-01-12,0.0000032000
1980-02-18,0.0000034200
1980-03-27,0.0000035000
1980-05-03,0.0000033800
1980-06-09,0.0000031100
1980-07-16,0.0000027900
1980-08-23,0.0000025200
1980-09-29,0.0000023300
1980-11-05,0.0000022000
1980-12-13,0.0000021500
1981-01-19,0.0000021900
1981-02-25,0.0000023600
1981-04-03,0.0000026800
1981-05-11,0.0000030900
1981-06-17,0.0000034800
1981-07-24,0.0000037500
1981-08-31,0.0000038100
1981-10-07,0.0000036600
1981-11-13,0.0000033500
1981-12-20,0.0000030200
1982-01-27,0.0000028200
1982-03-05,0.0000028800
1982-04-11,0.0000032000
1982-05-19,0.0000037000
1982-06-25,0.0000042200
1982-08-01,0.0000045800
1982-09-07,0.0000046700
1982-10-15,0.0000044400
1982-11-21,0.0000039800
1982-12-28,0.0000034500
1983-02-04,0.0000030300
1983-03-13,0.0000028400
1983-04-19,0.0000028500
1983-05-26,0.0000029500
1983-07-03,0.0000030100
1983-08-09,0.0000029800
1983-09-15,0.0000028500
1983-10-22,0.0000026800
1983-11-29,0.0000025400
1984-01-05,0.0000024500
1984-02-11,0.0000024300
1984-03-20,0.0000024500
1984-04-26,0.0000025100
1984-06-02,0.0000026200
1984-07-09,0.0000028000
1984-08-16,0.0000030600
1984-09-22,0.0000033900
1984-10-29,0.0000037900
1984-12-06,0.0000042300
1985-01-12,0.0000046100
1985-02-18,0.0000048500
1985-03-27,0.0000048900
1985-05-04,0.0000047800
1985-06-10,0.0000046900
1985-07-17,0.0000048100
1985-08-24,0.0000052400
1985-09-30,0.0000058700
1985-11-06,0.0000064700
1985-12-13,0.0000067500
1986-01-20,0.0000065400
1986-02-26,0.0000059300
1986-04-04,0.0000051300
1986-05-12,0.0000044200
1986-06-18,0.0000039600
1986-07-25,0.0000037400
1986-08-31,0.0000036900
1986-10-08,0.0000037400
1986-11-14,0.0000038600
1986-12-21,0.0000040500
1987-01-28,0.0000042300
1987-03-06,0.0000043600
1987-04-12,0.0000044300
1987-05-19,0.0000045200
1987-06-26,0.0000047100
1987-08-02,0.0000050000
1987-09-08,0.0000052800
1987-10-15,0.0000054200
1987-11-22,0.0000053400
1987-12-29,0.0000050700
1988-02-04,0.0000047400
1988-03-13,0.0000045000
1988-04-19,0.0000044400
1988-05-26,0.0000045900
1988-07-02,0.0000048800
1988-08-09,0.0000051500
1988-09-15,0.0000052700
1988-10-22,0.0000051200
1988-11-29,0.0000047500
1989-01-05,0.0000042800
1989-02-11,0.0000038700
1989-03-20,0.0000035900
1989-04-27,0.0000034500
1989-06-03,0.0000034400
1989-07-10,0.0000035400
1989-08-17,0.0000037300
1989-09-23,0.0000039400
1989-10-30,0.0000040900
1989-12-06,0.0000041700
1990-01-13,0.0000041900
1990-02-19,0.0000042000
1990-03-28,0.0000042100
1990-05-05,0.0000042200
1990-06-11,0.0000042000
1990-07-18,0.0000041300
1990-08-24,0.0000040300
1990-10-01,0.0000039700
1990-11-07,0.0000040100
1990-12-14,0.0000041900
1991-01-21,0.0000045100
1991-02-27,0.0000049200
1991-04-05,0.0000053000
1991-05-12,0.0000055600
1991-06-19,0.0000056600
1991-07-26,0.0000056600
1991-09-01,0.0000056700
1991-10-08,0.0000057900
1991-11-15,0.0000060200
1991-12-22,0.0000063200
1992-01-28,0.0000066000
1992-03-06,0.0000067900
1992-04-12,0.0000068200
1992-05-19,0.0000066600
1992-06-25,0.0000063400
1992-08-02,0.0000059200
1992-09-08,0.0000055000
1992-10-15,0.0000051800
1992-11-22,0.0000050400
1992-12-29,0.0000050800
1993-02-04,0.0000052400
1993-03-13,0.0000054400
1993-04-20,0.0000056700
1993-05-27,0.0000059300
1993-07-03,0.0000062200
1993-08-10,0.0000064600
1993-09-16,0.0000065800
1993-10-23,0.0000065900
1993-11-29,0.0000066100
1994-01-06,0.0000068000
1994-02-12,0.0000072100
1994-03-21,0.0000077300
1994-04-28,0.0000081600
1994-06-04,0.0000083300
1994-07-11,0.0000082700
1994-08-17,0.0000081500
1994-09-24,0.0000081300
1994-10-31,0.0000082500
1994-12-07,0.0000084200
1995-01-14,0.0000085000
1995-02-20,0.0000083400
1995-03-29,0.0000079300
1995-05-05,0.0000073400
1995-06-12,0.0000067800
1995-07-19,0.0000065100
1995-08-25,0.0000066500
