Week,All_Postcodes,EO2HO_Postcodes,iAll,iEO2HO
23,1.496124691,1.683260734,1,1
24,1.412439024,1.659498208,0.944065045,0.985883039
25,1.572462473,1.76819407,1.051023676,1.050457623
26,1.351174704,1.540540541,0.903116373,0.91521207
27,1.421154143,1.556469298,0.949890174,0.924675106
28,1.349624377,1.632051282,0.902080144,0.969577231
29,1.478322926,1.739307536,0.988101416,1.033296566
30,1.392779469,1.782841823,0.930924727,1.059159634
31,1.428289417,1.576139089,0.954659345,0.936360634
32,1.172824403,1.386706949,0.783908193,0.823821836
33,1.325181312,1.553956835,0.885742559,0.923182489
34,1.613828535,1.919968304,1.078672482,1.140624423
35,1.247766262,1.373438527,0.833998843,0.815939266
36,1.311458512,1.506410256,0.876570329,0.894935779
37,1.261546061,1.425225225,0.843209171,0.846704967
38,1.266157882,1.338076266,0.846291682,0.794931076
39,1.34655129,1.400589971,0.900026112,0.832069531
