Week,HospDiff,OtherDiff
23,-0.162280471,0.187136043
24,0.031844838,0.247059183
25,-0.140427441,0.195731597
26,-0.210770975,0.189365836
27,-0.27038534,0.135315155
28,-0.307464984,0.282426905
29,-0.049573059,0.26098461
30,-0.055231057,0.390062354
31,-0.516648508,0.147849672
32,-0.175685426,0.213882546
33,-0.205477356,0.228775522
34,-0.328051849,0.30613977
35,-0.091734177,0.125672266
36,-0.159710008,0.194951744
37,-0.190038854,0.163679164
38,-0.324961341,0.071918384
39,-0.28698603,0.054038681
