Name,week,All_Postcodes,EO2HO_Postcodes
North East,23,1.768595041,0.966666667
North East,24,1.186379928,1.5
North East,25,1.710280374,1.310344828
North East,26,1.114583333,0.904761905
North East,27,1.307692308,1
North East,28,1.234875445,1.068965517
North East,29,1.42745098,1.56
North East,30,1.449392713,2.4375
North East,31,1.348484848,0.807692308
North East,32,1.06884058,0.866666667
North East,33,1.263537906,1.727272727
North East,34,1.330508475,1.074074074
North East,35,1.391705069,1.222222222
North East,36,1.035460993,0.666666667
North East,37,1.248120301,0.609756098
North East,38,1.227272727,1.12
North East,39,1.254125413,0.627906977
North West,23,1.58650519,1.371681416
North West,24,1.429898649,1.175
North West,25,1.507155635,1.455284553
North West,26,1.327272727,1.422764228
North West,27,1.305247598,0.87244898
North West,28,1.189335394,1.033783784
North West,29,1.424373379,1.532110092
North West,30,1.112554113,1.112781955
North West,31,1.449122807,1.27826087
North West,32,1.188805347,0.980519481
North West,33,1.236333053,1.266666667
North West,34,1.537422037,1.2
North West,35,1.179624665,0.780141844
North West,36,1.150113723,1.434108527
North West,37,1.269069573,1.448
North West,38,1.224902724,1.102040816
North West,39,1.375638842,1.414414414
Yorkshire and the Humber,23,1.642967543,1.590909091
Yorkshire and the Humber,24,1.412011173,1.31147541
Yorkshire and the Humber,25,1.493730408,1.421052632
Yorkshire and the Humber,26,1.453333333,1.016393443
Yorkshire and the Humber,27,1.359848485,1.047058824
Yorkshire and the Humber,28,1.301587302,0.823529412
Yorkshire and the Humber,29,1.546391753,1.140625
Yorkshire and the Humber,30,1.421133231,1.444444444
Yorkshire and the Humber,31,1.316890882,0.986842105
Yorkshire and the Humber,32,1.354354354,1.116666667
Yorkshire and the Humber,33,1.437898089,0.98630137
Yorkshire and the Humber,34,1.736951983,2.025641026
Yorkshire and the Humber,35,1.408273381,1.230769231
Yorkshire and the Humber,36,1.27056962,1.411764706
Yorkshire and the Humber,37,1.197802198,1.029411765
Yorkshire and the Humber,38,1.41194487,1.316666667
Yorkshire and the Humber,39,1.371814093,1.315789474
East Midlands,23,1.518895349,1.427272727
East Midlands,24,1.363259669,2.045977011
East Midlands,25,1.437209302,1.480769231
East Midlands,26,0.977218225,1
East Midlands,27,1.70531401,2.723076923
East Midlands,28,1.345360825,1.070175439
East Midlands,29,1.609284333,1.142857143
East Midlands,30,1.50385208,4.537037037
East Midlands,31,1.805152979,2.097826087
East Midlands,32,1.47804878,2.519230769
East Midlands,33,0.8390579,0.5125
East Midlands,34,1.558232932,2.882352941
East Midlands,35,1.087797619,1.777777778
East Midlands,36,1.304276316,1.181818182
East Midlands,37,0.944987775,1.173469388
East Midlands,38,1.254807692,1.035714286
East Midlands,39,1.396853147,1.132075472
West Midlands,23,1.416289593,1.348314607
